"MMSA_NAME","CASES","DEATHS","death_rate","MMSA_Number","BMI_.kg.m2.","underweight","normalweight","overweight","obese","extremeobesity","Gen_Hlth_good","Gen_Hlth_bad","Gen_Hlth_unkn","Insured","Uninsured","Unkn_insurance","HD_yes","HD_no","Unkn_HD","cancer_yes","cancer_no","Unkn_cancer","KD_yes","KD_no","Unkn_KD","Diabetes_yes","Diabetes_no","Unkn_Diabetes","Smoke_yes","Smoke_no","Unkn_Smoke","age_30minus","age_30_40","age_40_50","age_50_60","age_60_70","age_70plus"
"Aberdeen, SD",1338,4,0.298953662182362,10100,28.3217569232089,0.0137178179570792,0.266791971661449,0.431910006577401,0.241372270347695,0.0462079334563765,0.85845039337215,0.136987252202334,0.00456235442551514,0.904412977538378,0.0875065698051123,0.0080804526565097,0.0513399017911007,0.940487556373584,0.00817254183531525,0.0880155293034245,0.91076875757884,0.00121571311773582,0.0252776911738874,0.97361525181372,0.00110705701239218,0.118001455596101,0.880065911060603,0.00193263334329572,0.809541954518919,0.161687888689732,0.0287701567913493,0.185264886922534,0.188773900642194,0.125166112845161,0.18317759911066,0.149285528185065,0.168331972294385
"Akron, OH",6615,319,4.82237339380197,10420,27.8600206610428,0.0360680763867553,0.302322136055948,0.380177697844795,0.240624587257817,0.0408075024546855,0.822000578059628,0.175952540146682,0.00204688179369059,0.916040702478906,0.0784708567000124,0.00548844082108155,0.0379162890339317,0.954772259621556,0.00731145134451251,0.071616974084841,0.924184822525129,0.00419820339002953,0.0286882976539419,0.96910483372109,0.00220686862496798,0.111698242992596,0.888079277988645,0.00022247901875945,0.731152591904532,0.231553894115327,0.0372935139801402,0.205056015319071,0.158433333286481,0.151519291165352,0.18866574556721,0.157929359039131,0.138396255622755
"Albany-Schenectady-Troy, NY",6600,228,3.45454545454545,10580,27.6213467972446,0.0153067482518884,0.319110860637885,0.40720230053903,0.222284121676834,0.0360959688943624,0.852244755339621,0.144776515098603,0.00297872956177594,0.942406905919935,0.0531886950303571,0.00440439904970827,0.0440089321937536,0.953252884159173,0.00273818364707389,0.0722327577671418,0.924526768133149,0.00324047409970951,0.0234842201631781,0.974260347247798,0.00225543258902362,0.114971723856932,0.883504628706759,0.00152364743630959,0.800502808467765,0.144743395424936,0.0547537961072991,0.200169771171685,0.163886717989745,0.153508933342575,0.185639330452739,0.16234976823655,0.134445478806707
"Albuquerque, NM",8643,224,2.59169269929423,10740,27.5060186061621,0.0160503721102406,0.326552174749346,0.409349014923305,0.211320265643902,0.0367281725732067,0.807081311762092,0.191655036982872,0.00126365125503629,0.866996403176028,0.127923489388749,0.00508010743522256,0.0321447196989272,0.962722689059036,0.005132591242037,0.0649588892819989,0.934295373430032,0.000745737287968785,0.0291523052881014,0.969276847728187,0.00157084698371195,0.13123635361389,0.868228598297486,0.000535048088623554,0.782651098499951,0.170998422767698,0.0463504787323511,0.209916842921969,0.173786488498165,0.15985134257216,0.178149910719826,0.151923922131012,0.126371493156868
"Allentown-Bethlehem-Easton, PA-NJ",12125,857,7.0680412371134,10900,28.0193708011442,0.0168076725551447,0.296314735218829,0.393872927972776,0.248097854049156,0.0449068102040948,0.820697388890664,0.17501560726461,0.00428700384472563,0.902825148037539,0.0887596763945629,0.00841517556789778,0.0466594692004302,0.946045741737474,0.00729478906209578,0.0784949771257079,0.920922507299095,0.000582515575197277,0.0248181376099115,0.974298398396384,0.00088346399370456,0.140019073883173,0.857956843201365,0.00202408291546233,0.777623432546462,0.177516113365379,0.0448604540881585,0.191974903515154,0.138421946046286,0.165980385321104,0.200970431572529,0.148201176635194,0.154451156909734
"Anchorage, AK",624,2,0.320512820512821,11260,28.0202024407447,0.0126410691552311,0.311092086126185,0.383963989870321,0.247607187437857,0.0446956674104063,0.853152643854077,0.145095783042637,0.00175157310328651,0.857729520064545,0.135716546843167,0.00655393309228818,0.0278044884196494,0.966702155450386,0.00549335612996451,0.0626217172425877,0.935174999686935,0.00220328307047786,0.0229691388057356,0.974631474591807,0.00239938660245745,0.10492195245115,0.894657456879872,0.000420590668978049,0.791553820714979,0.171515658421506,0.0369305208635152,0.248744640747117,0.195042516536995,0.152576532537477,0.187503495568471,0.134137444929137,0.0819953696808033
"Augusta-Richmond County, GA-SC",17659,355,2.0103063593635,12260,28.1795541238058,0.0179015742823939,0.290619972837431,0.396362057207647,0.248120802454213,0.0469955932183152,0.806033312797787,0.192718352487241,0.00124833471497225,0.84427285422946,0.148171613817897,0.00755553195264352,0.0504988489560038,0.935158458645249,0.0143426923987468,0.0627699067059484,0.935169718226695,0.00206037506735617,0.0328528466108842,0.963205480988539,0.00394167240057694,0.166475390284774,0.829789622178797,0.00373498753642906,0.780415763277307,0.180629900030273,0.0389543366924199,0.211473685804079,0.160493537857476,0.171192797717303,0.160810673484797,0.17345802401083,0.122571281125516
"Baltimore-Columbia-Towson, MD",38922,1232,3.16530496891218,12580,27.9417221276131,0.0178918841236378,0.303218152820117,0.401143222741051,0.23349276295908,0.0442539773561142,0.848817993269251,0.14907688758743,0.00210511914331854,0.918408006472306,0.0749151501684828,0.00667684335921103,0.0364078634487179,0.957282455214991,0.00630968133629122,0.0649791115000671,0.931959264097933,0.00306162440200002,0.0266752570831658,0.971001353480643,0.00232338943619164,0.130097691365823,0.866971819753251,0.00293048888092615,0.798439580822687,0.157996471539961,0.0435639476373521,0.20412310801551,0.169151022701513,0.163868404884462,0.189115723926098,0.146666849348172,0.127074891124246
"Baton Rouge, LA",29817,880,2.95133648589731,12940,28.4707712351646,0.0192001236746678,0.294187792936999,0.36874822365913,0.256085669404188,0.0617781903250147,0.80242613784606,0.196572153632789,0.000650088624147172,0.843983166961502,0.14415295314873,0.0115122599927648,0.0495474716499016,0.944655602691967,0.00544530576112764,0.0606769680505433,0.936391184380035,0.00258022767241884,0.0245553913106697,0.97392864230933,0.00116434648299734,0.154393796566196,0.842846047576354,0.00240853596044715,0.758246935519929,0.196931345509217,0.0444700990738513,0.244634882891462,0.176790912295407,0.158496532962163,0.172495761163817,0.136691355328616,0.110538935461531
"Beckley, WV",1158,22,1.89982728842832,13220,29.4187302342733,0.0105483061781322,0.234162473084695,0.339478207027729,0.359326438844357,0.0564845748650869,0.676021722488652,0.313997071633371,0.00998120587797728,0.90773301046501,0.0850780914028126,0.00718889813217786,0.0952581962659551,0.889050636821261,0.0156911669127838,0.0804977285576881,0.915534667865728,0.00396760357658379,0.0467337944285026,0.950481400010257,0.00278480556124014,0.192467630355959,0.805033337293725,0.00249903235031632,0.70068033810381,0.287481151138489,0.0118385107577007,0.168712718472668,0.165375786400196,0.137034112381198,0.174492240131076,0.200224667368459,0.154160475246403
