"MMSA","BMI_(kg/m2)","underweight","normalweight","overweight","obese","extremeobesity"
10100,27.8936923647087,0.0273858960433866,0.389987983853978,0.260110547895514,0.256900744328724,0.065614827878397
10580,27.7064339539284,0,0.381870519153319,0.307514422055033,0.265800007018554,0.0448150517730941
10740,27.1596265577653,0.0211864445222619,0.4009976233294,0.364470078544277,0.17336668009315,0.0399791735109115
10900,26.2659297397001,0.0113943569321191,0.488008316703372,0.276431301746692,0.213233857190163,0.0109321674276549
11260,28.8114522681823,0.0161682839876152,0.388548519097747,0.210562645694755,0.292071675683369,0.0926488755365137
12060,27.4590048841419,0.0221275168090245,0.409903725836043,0.297484824681219,0.215854841579275,0.0546290910944384
12260,30.0064006560203,0.018785660010224,0.267199800162979,0.340612977837995,0.253532162496921,0.11986939949188
12420,26.5490048042858,0.00628441757310103,0.414698566494702,0.374048159426739,0.178906763520903,0.0260620929845552
12580,27.7633563366564,0.0132665529389671,0.402330680131022,0.305366596798963,0.218852294030438,0.0601838761006092
12940,29.3816427592564,0.0120292434414156,0.338976346929555,0.276688885128354,0.286293220687712,0.086012303812963
13740,26.6429092465456,0.0272137140982612,0.415366358744114,0.369988547711552,0.152810261271566,0.0346211181745067
13820,28.7428029601765,0.0180234798086439,0.3385651933775,0.292508656261665,0.277907494624852,0.0729951759273389
13900,27.4540612349997,0.0289248280506386,0.380192234858873,0.306288604167449,0.234338303507183,0.0502560294158569
14260,26.3722947559517,0.0334428242853337,0.437111943098674,0.320794186385959,0.157683821558632,0.0509672246714008
14454,26.3186844684625,0.0677811754395713,0.397106820376751,0.305542672614915,0.202879570850402,0.0266897607183609
15380,26.6013909042189,0.0617283020506509,0.380499406161281,0.372789623876777,0.121829035053491,0.0631536328577997
15540,26.7881294027288,0.0165088594385911,0.470925352565759,0.288282776928405,0.180760777725529,0.0435222333417156
15764,25.4176871473613,0.0302987650986992,0.540630665077685,0.266192248009305,0.138203534075209,0.0246747877391018
15804,28.2992738336915,0.0229699079168417,0.350252453318327,0.363905442351634,0.193372523160664,0.0694996732525328
16300,28.9195881038419,0.00924318132778909,0.317482670585028,0.331413138386789,0.271767571646978,0.0700934380534161
16620,29.7246209158171,0.0122467357731346,0.286720966695111,0.411796408436864,0.208474469851447,0.0807614192434438
16700,28.0385450123769,0.0122060277776351,0.367075402036054,0.306190482953586,0.260227331961304,0.0543007552714213
16740,28.1732376409953,0.0127886233718374,0.313458317487519,0.39871267276357,0.201522345586132,0.0735180407909417
16980,27.0238473128208,0.0278753901682361,0.419966530903552,0.305846929383825,0.1983503642972,0.0479607852471881
