"","MMSA_NAME","CASES","DEATHS","death_rate"
"782","Tuscaloosa",10660,176,1.65103189493433
"783","Twin Falls",3159,45,1.42450142450142
"784","Tyler",3819,106,2.77559570568212
"785","Ukiah",954,18,1.88679245283019
"786","Union",575,12,2.08695652173913
"787","Union City",1220,11,0.901639344262295
"788","Urban Honolulu",11197,111,0.991336965258551
"789","Urbana",314,3,0.955414012738854
"790","Utica-Rome",2774,133,4.79452054794521
"791","Uvalde",790,34,4.30379746835443
"792","Valdosta",4979,115,2.30970074312111
"793","Vallejo",6419,69,1.07493379031002
"794","Van Wert",128,3,2.34375
"795","Vermillion",568,6,1.05633802816901
"796","Vernal",111,1,0.900900900900901
"797","Vernon",209,2,0.956937799043062
"798","Vicksburg",1418,50,3.52609308885755
"799","Victoria",4224,102,2.41477272727273
"800","Vidalia",1642,54,3.28867235079172
"801","Vincennes",545,10,1.8348623853211
"802","Vineland-Bridgeton",3802,160,4.20831141504471
"803","Vineyard Haven",80,0,0
"804","Virginia Beach-Norfolk-Newport News",5971,121,2.02646122927483
"805","Visalia",16267,263,1.6167701481527
"806","Wabash",279,8,2.8673835125448
"807","Waco",8410,110,1.30796670630202
"808","Wahpeton",314,4,1.27388535031847
"809","Walla Walla",914,5,0.547045951859956
"810","Wapakoneta",634,13,2.05047318611987
"811","Warner Robins",3833,106,2.76545786590138
"812","Warren",44,1,2.27272727272727
"813","Warrensburg",974,5,0.513347022587269
"814","Warsaw",1321,19,1.43830431491294
"815","Washington",1667,56,3.35932813437313
"816","Washington-Arlington-Alexandria",112665,3149,2.795011760529
"817","Washington Court House",245,6,2.44897959183673
"818","Waterloo-Cedar Falls",5284,103,1.94928084784254
"819","Watertown",995,6,0.603015075376884
"820","Watertown-Fort Atkinson",1592,8,0.50251256281407
"821","Watertown-Fort Drum",172,1,0.581395348837209
"822","Wauchula",1366,11,0.805270863836018
"823","Wausau-Weston",1908,16,0.838574423480084
"824","Waycross",2121,80,3.77180575200377
"825","Weatherford",718,0,0
"826","Weirton-Steubenville",609,5,0.821018062397373
"827","Wenatchee",3043,25,0.821557673348669
"828","West Plains",664,3,0.451807228915663
"829","West Point",599,19,3.17195325542571
"830","Wheeling",1277,34,2.66249021143305
"831","Whitewater",2784,35,1.25718390804598
"832","Wichita",10656,107,1.00412912912913
"833","Wichita Falls",2005,27,1.34663341645885
"834","Williamsport",709,26,3.66713681241185
"835","Williston",1086,7,0.644567219152855
"836","Willmar",1057,3,0.283822138126774
"837","Wilmington",5630,52,0.923623445825932
"838","Wilson",2275,53,2.32967032967033
"839","Winchester",1515,18,1.18811881188119
"840","Winfield",389,5,1.2853470437018
"841","Winnemucca",129,4,3.10077519379845
"842","Winona",923,18,1.9501625135428
"843","Winston-Salem",11700,159,1.35897435897436
"844","Wisconsin Rapids-Marshfield",906,5,0.551876379690949
"845","Woodward",1112,4,0.359712230215827
"846","Wooster",950,68,7.15789473684211
"847","Worcester",16106,1131,7.02222774121445
"848","Worthington",1979,16,0.808489135927236
"849","Yakima",11431,262,2.29201294724871
"850","Yankton",435,4,0.919540229885057
"851","York-Hanover",4941,159,3.21797207043109
"852","Youngstown-Warren-Boardman",5801,434,7.48146871229098
"853","Yuba City",2892,19,0.656984785615491
"854","Yuma",12730,345,2.71013354281225
"855","Zanesville",482,3,0.622406639004149
"856","Zapata",333,6,1.8018018018018
